Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
CHICLAYO,Real Plaza Chiclayo,Calle Mariscal Avelino Cáceres Nro. 222,20%,4%,"715 personas
aforo actual",16220,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
LIMA,Real Plaza Centro Cívico,Av. Garcilaso De la Vega Nro. 1310,30%,0%,"0 personas
aforo actual",11604,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
CHORRILLOS,Real Plaza Guardia Civil,Av. Guardia Civil Nro. 1035,30%,4%,"361 personas
aforo actual",9073,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
SAN BORJA,Real Plaza Primavera,Av. Aviación esquina con Av.Primavera,30%,9%,"974 personas
aforo actual",11000,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
SAN MARTIN DE PORRES,Real Plaza Pro,Av. Alfredo Mendiola N°7042,30%,11%,"923 personas
aforo actual",8414,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
ATE,Real Plaza Puruchuco,Av. Nicolás Ayllón 4770,30%,7%,"2475 personas
aforo actual",36300,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
JESUS MARIA,Real Plaza Salaverry,Av. Felipe Santiago Salaverry cuadra 24,30%,7%,"1490 personas
aforo actual",20494,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
ATE,Real Plaza,Av. Nicolas Ayllon Nro. 8694,30%,7%,"589 personas
aforo actual",8284,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
VILLA MARIA DEL TRIUNFO,Real Plaza Villa María,Av. Pachacutec 3721 - 3781,30%,0%,"0 personas
aforo actual",11395,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
PIURA,Real Plaza Piura,Av. Sanchez Cerro Nro. 234,30%,12%,"2108 personas
aforo actual",17915,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
JULIACA,Real Plaza Juliaca,Jr. Tumbes Nro. 391 Urb. Cercado,20%,2%,"256 personas
aforo actual",10500,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
CALLERIA,Real Plaza Pucallpa,Av. Centenario N°365,30%,4%,"409 personas
aforo actual",10000,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
SAN BORJA,La Rambla San Borja,Av Javier Prado Este 2050,30%,0%,"4 personas
aforo actual",4157,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:28
BREÑA,La Rambla Brasil,Av Brasil 778,30%,0%,"0 personas
aforo actual",8931,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:58
